Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,45,1,8.0,0,1-2 Year,Yes,42297.0,124.0,264,0
Male,24,1,11.0,1,< 1 Year,No,27771.0,152.0,233,0
Male,52,1,28.0,0,1-2 Year,Yes,46090.0,124.0,217,1
Male,45,1,46.0,1,1-2 Year,No,2630.0,26.0,271,0
Female,28,1,4.0,0,1-2 Year,Yes,2630.0,157.0,63,0
Male,57,1,39.0,0,1-2 Year,Yes,2630.0,124.0,49,0
Male,46,1,7.0,0,1-2 Year,Yes,42101.0,152.0,164,0
Female,21,1,41.0,1,< 1 Year,No,27094.0,152.0,299,0
Male,46,1,8.0,0,1-2 Year,Yes,39197.0,26.0,253,0
Male,49,1,28.0,0,1-2 Year,No,47598.0,25.0,205,1
Male,49,1,39.0,0,1-2 Year,Yes,43707.0,124.0,264,1
Female,34,1,29.0,1,1-2 Year,No,2630.0,124.0,184,0
Male,41,1,24.0,0,1-2 Year,Yes,28227.0,124.0,190,1
Female,78,1,28.0,0,1-2 Year,Yes,45058.0,26.0,14,0
Female,21,1,8.0,1,< 1 Year,No,29952.0,152.0,91,0
Male,24,1,41.0,1,< 1 Year,No,51956.0,152.0,203,0
Male,28,1,18.0,0,< 1 Year,Yes,34817.0,152.0,294,0
Female,31,1,28.0,0,1-2 Year,Yes,53860.0,122.0,13,0
Male,38,1,28.0,1,1-2 Year,No,27770.0,29.0,268,0
Female,30,1,44.0,1,< 1 Year,No,23988.0,152.0,289,0
Female,23,1,3.0,0,< 1 Year,Yes,38965.0,26.0,66,0
Male,67,1,46.0,1,1-2 Year,No,30070.0,26.0,61,0
Female,22,1,6.0,1,< 1 Year,No,32264.0,152.0,204,0
Male,34,1,19.0,1,< 1 Year,No,2630.0,1.0,135,0
Female,46,1,48.0,1,1-2 Year,No,2630.0,122.0,120,0
Male,57,1,36.0,1,1-2 Year,No,34507.0,26.0,251,0
Male,21,1,8.0,0,< 1 Year,Yes,40693.0,26.0,187,1
Female,24,1,43.0,1,< 1 Year,No,28698.0,152.0,28,0
Female,56,1,45.0,1,1-2 Year,No,2630.0,152.0,251,0
Male,33,1,28.0,0,1-2 Year,Yes,41942.0,124.0,124,0
Male,67,1,3.0,0,1-2 Year,No,40187.0,26.0,130,0
Female,25,1,32.0,1,< 1 Year,No,34533.0,152.0,291,0
Male,42,1,8.0,1,1-2 Year,No,45932.0,19.0,103,0
Male,55,1,28.0,0,1-2 Year,Yes,28955.0,124.0,151,0
Male,25,1,8.0,0,< 1 Year,Yes,36549.0,152.0,115,0
Male,24,1,27.0,1,< 1 Year,No,39311.0,152.0,225,0
Male,25,1,11.0,1,< 1 Year,No,31900.0,152.0,55,0
Male,22,1,14.0,1,< 1 Year,No,30457.0,152.0,163,0
Male,24,1,17.0,1,< 1 Year,No,28839.0,152.0,287,0
Male,21,1,29.0,0,1-2 Year,Yes,40940.0,124.0,240,1
Male,56,1,14.0,0,1-2 Year,Yes,31841.0,124.0,255,0
Male,38,1,46.0,1,1-2 Year,No,23115.0,152.0,21,0
Male,23,1,11.0,1,< 1 Year,No,27632.0,152.0,119,0
Female,29,1,47.0,0,< 1 Year,Yes,32799.0,124.0,51,0
Female,61,1,28.0,0,1-2 Year,Yes,31172.0,26.0,220,0
Male,21,1,39.0,0,< 1 Year,Yes,2630.0,154.0,85,0
Female,26,1,28.0,1,< 1 Year,No,30385.0,152.0,81,0
Male,44,1,29.0,0,1-2 Year,No,35039.0,152.0,148,0
Female,21,1,44.0,1,< 1 Year,No,26409.0,152.0,197,0
Female,47,1,36.0,1,1-2 Year,No,16815.0,124.0,12,0
Female,44,1,29.0,0,> 2 Years,Yes,2630.0,26.0,35,0
Male,41,1,47.0,1,1-2 Year,No,26104.0,26.0,147,0
Male,40,1,41.0,1,1-2 Year,No,31482.0,124.0,281,0
Male,44,1,28.0,0,> 2 Years,Yes,2630.0,26.0,121,0
Male,47,1,41.0,1,1-2 Year,No,26651.0,26.0,228,0
Male,48,1,28.0,1,1-2 Year,No,43556.0,26.0,196,0
Male,21,1,28.0,1,< 1 Year,No,25787.0,160.0,48,0
Male,36,1,15.0,1,1-2 Year,No,2630.0,26.0,151,0
Male,51,1,46.0,0,1-2 Year,No,48332.0,124.0,103,0
Female,42,1,28.0,0,1-2 Year,Yes,40284.0,26.0,22,1
Female,43,1,46.0,0,1-2 Year,Yes,2630.0,124.0,115,1
Male,24,1,28.0,0,< 1 Year,Yes,60512.0,152.0,283,0
Male,24,1,8.0,1,< 1 Year,No,44448.0,152.0,102,0
Male,32,1,14.0,1,< 1 Year,Yes,36055.0,124.0,280,0
Female,22,1,30.0,0,< 1 Year,No,27152.0,152.0,117,0
Male,48,1,30.0,1,1-2 Year,No,2630.0,26.0,238,0
Male,46,1,28.0,0,> 2 Years,Yes,33620.0,26.0,156,0
Male,60,1,28.0,0,1-2 Year,Yes,55320.0,124.0,142,0
Female,51,1,41.0,0,1-2 Year,Yes,25842.0,26.0,223,0
Female,25,1,47.0,1,< 1 Year,No,2630.0,160.0,191,0
Male,28,1,28.0,0,< 1 Year,Yes,29234.0,156.0,62,1
Female,62,1,48.0,0,1-2 Year,No,2630.0,26.0,273,0
Male,42,1,28.0,1,1-2 Year,No,34290.0,154.0,134,0
Male,40,1,15.0,0,1-2 Year,Yes,39372.0,124.0,72,0
Female,44,1,29.0,0,1-2 Year,Yes,28932.0,26.0,61,0
Male,39,1,28.0,1,1-2 Year,No,68718.0,26.0,271,0
